rank	citation	target_id	openai_score_raw	promptv2_score_raw
1	(Durrett, 2010)	ref_probabilitytheoryandexamples_2010	0.009938900203665935	0.0003132718894009216
2	(Su et al., 2023)	ref_oneembedderanytaskinstructionfinetunedtextembeddings_2023	0.008149898167006118	0.059109386369148684
3	(Jiang et al., 2023)	ref_llmblenderensemblinglargelanguagemodelswithpairwiserankingandgenerativefusion_2023	0.002882281059063139	0.0010629422823921974
4	(Guan et al., 2019)	ref_mithrarankingasystemforresponsiblerankingdesign_2019	0.0024847250509164994	0.028779044385156438
5	(Gao et al., 2023)	ref_doubleequivarianceforinductivelinkpredictionforbothnewnodesandnewrelationtypes_2023	0.0024847250509164994	0.02158428328886733
6	(Hammersley, 2013)	ref_montecarlomethods_2013	0.0024847250509164994	0.014389522192578219
7	(Angwin et al., 2022)	ref_machinebias_2022	0.0024847250509164994	0.0071947610962891095
8	(Nadeem et al., 2021)	ref_stereosetmeasuringstereotypicalbiasinpretrainedlanguagemodels_2021	0.0013914460285132397	0.02369140557437843
9	(Wang et al., 2023)	ref_farewelltoaimlesslargescalepretraininginfluentialsubsetselectionforlanguagemodel_2023	0.0013914460285132397	0.0014571603201552264
10	(Killamsetty et al., 2023)	ref_milomodelagnosticsubsetselectionframeworkforefficientmodeltrainingandtuning_2023	0.0013914460285132397	0.0009714402134368175
11	(Webster et al., 2020)	ref_measuringandreducinggenderedcorrelationsinpretrainedmodels_2020	0.0010932790224032598	0.0016351729764293435
12	(Meade et al., 2022)	ref_anempiricalsurveyoftheeffectivenessofdebiasingtechniquesforpretrainedlanguagemodels_2022	0.0010932790224032598	0.0008175864882146717
13	(Zmigrod et al., 2019)	ref_counterfactualdataaugmentationformitigatinggenderstereotypesinlanguageswithrichmorphology_2019	0.0010932790224032598	0.0006131898661610036
14	(Dinan et al., 2020)	ref_queensarepowerfultoomitigatinggenderbiasindialoguegeneration_2020	0.0010932790224032598	0.00040879324410733587
15	(Barikeri et al., 2021)	ref_redditbiasarealworldresourceforbiasevaluationanddebiasingofconversationallanguagemodels_2021	0.0010932790224032598	0.00020439662205366793
16	(Boluk-basi et al., 2016)	bolukbasietal2016	0.0010932790224032598	0.00020439662205366793
17	(Ueda et al., 2023)	ref_mitigatingvoterattributebiasforfairopinionaggregation_2023	0.0010932790224032598	0.00020439662205366793
18	(May et al., 2019)	ref_onmeasuringsocialbiasesinsentenceencoders_2019	0.0010932790224032598	0.0001226379732322007
19	(Caliskan et al., 2017)	ref_semanticsderivedautomaticallyfromlanguagecorporacontainhumanlikebiases_2017	0.0010932790224032598	8.175864882146715e-05
20	(Kaneko & Bollegala, 2021)	ref_debiasingpretrainedcontextualisedembeddings_2021	0.0010932790224032598	8.175864882146715e-05
21	(Bordia & Bowman, 2019)	ref_identifyingandreducinggenderbiasinwordlevellanguagemodels_2019	0.0010932790224032598	0.0
22	(Gira et al., 2022)	ref_debiasingpretrainedlanguagemodelsviaefficientfinetuning_2022	0.0010932790224032598	0.0
23	(Zeng et al., 2024)	ref_howjohnnycanpersuadellmstojailbreakthemrethinkingpersuasiontochallengeaisafetybyhumanizingllms_2024	0.0005963340122199598	0.0017700938830489045
